,camera_id,filename,image_object_ct,image_object_ct_c,image_object_ct_l,image_object_ct_lr,image_object_ct_r,image_std,timestamp
348,590,1447471273_cctv590.jpg,8,5,5,18,15,0.0972281424512,1447471273
349,592,1447471273_cctv592.jpg,33,29,29,53,36,0.205632201675,1447471273
350,589,1447473083_cctv589.jpg,42,56,56,53,40,0.243355063038,1447473083
351,590,1447473083_cctv590.jpg,5,6,6,18,13,0.0748370641285,1447473083
352,592,1447473083_cctv592.jpg,17,21,21,36,19,0.264115637501,1447473083
353,589,1447474883_cctv589.jpg,30,40,40,60,32,0.288100689422,1447474883
354,590,1447474883_cctv590.jpg,5,5,5,12,9,0.119680701581,1447474883
355,592,1447474883_cctv592.jpg,38,36,36,63,36,0.241268408912,1447474883
356,589,1447476684_cctv589.jpg,28,30,30,46,31,0.176651436957,1447476684
357,590,1447476684_cctv590.jpg,9,7,7,18,15,0.153229292917,1447476684
358,592,1447476684_cctv592.jpg,35,36,36,65,41,0.243020805362,1447476684
359,589,1447478484_cctv589.jpg,14,16,16,38,16,0.118971952185,1447478484
360,590,1447478484_cctv590.jpg,2,4,4,14,12,0.127707647537,1447478484
361,592,1447478484_cctv592.jpg,33,46,46,81,42,0.258324721213,1447478484
362,589,1447480285_cctv589.jpg,6,12,12,26,16,0.12286441764,1447480285
363,590,1447480285_cctv590.jpg,1,7,7,16,11,0.160496421991,1447480285
364,592,1447480285_cctv592.jpg,4,11,11,19,10,0.0863885028923,1447480285
365,589,1447482085_cctv589.jpg,9,8,8,20,14,0.145038970415,1447482085
366,590,1447482085_cctv590.jpg,2,4,4,15,12,0.0934773542694,1447482085
367,592,1447482085_cctv592.jpg,5,9,9,19,13,0.127417087338,1447482085
368,589,1447483885_cctv589.jpg,12,11,11,30,20,0.185493810662,1447483885
369,590,1447483885_cctv590.jpg,2,4,4,16,14,0.107640642253,1447483885
370,592,1447483885_cctv592.jpg,4,12,12,20,10,0.0889528754105,1447483885
371,589,1447485686_cctv589.jpg,8,9,9,24,17,0.1279182369,1447485686
372,590,1447485686_cctv590.jpg,3,6,6,13,9,0.173022921024,1447485686
373,592,1447485686_cctv592.jpg,5,11,11,20,10,0.154517342009,1447485686
374,589,1447487486_cctv589.jpg,7,6,6,23,19,0.183272885989,1447487486
375,590,1447487486_cctv590.jpg,3,9,9,18,10,0.0836266130009,1447487486
376,592,1447487486_cctv592.jpg,4,11,11,18,8,0.0960578893386,1447487486
377,589,1447489288_cctv589.jpg,7,8,8,24,18,0.130762067583,1447489288
378,590,1447489288_cctv590.jpg,1,4,4,15,13,0.113149894789,1447489288
379,592,1447489288_cctv592.jpg,5,10,10,18,11,0.10595457025,1447489288
380,589,1447491088_cctv589.jpg,11,9,9,23,15,0.137301507905,1447491088
381,590,1447491088_cctv590.jpg,2,4,4,19,15,0.108467004622,1447491088
382,592,1447491088_cctv592.jpg,6,15,15,21,8,0.0955471093424,1447491088
383,589,1447492889_cctv589.jpg,6,11,11,27,19,0.138131105406,1447492889
384,590,1447492889_cctv590.jpg,1,5,5,17,14,0.113318221555,1447492889
385,592,1447492889_cctv592.jpg,4,13,13,17,6,0.0943776389434,1447492889
386,589,1447494692_cctv589.jpg,8,10,10,24,16,0.116061739755,1447494692
387,590,1447494692_cctv590.jpg,1,5,5,16,12,0.110946693313,1447494692
388,592,1447494692_cctv592.jpg,4,11,11,12,5,0.0954248238489,1447494692
389,589,1447496492_cctv589.jpg,12,20,20,30,15,0.130263656183,1447496492
390,590,1447496492_cctv590.jpg,3,5,5,20,15,0.138210712261,1447496492
391,592,1447496492_cctv592.jpg,8,13,13,20,12,0.114682953644,1447496492
392,589,1447498309_cctv589.jpg,21,17,17,30,18,0.28298522867,1447498309
393,590,1447498309_cctv590.jpg,7,9,9,14,6,0.268400265718,1447498309
394,592,1447498309_cctv592.jpg,9,7,7,13,9,0.11152717488,1447498309
395,589,1447500112_cctv589.jpg,13,13,13,26,23,0.0722488064633,1447500112
396,590,1447500112_cctv590.jpg,9,8,8,16,9,0.0357559923888,1447500112
397,592,1447500112_cctv592.jpg,9,11,11,21,9,0.107183675135,1447500112
398,589,1447501913_cctv589.jpg,12,9,9,35,16,0.0652429406442,1447501913
399,590,1447501913_cctv590.jpg,21,30,30,49,23,0.0721213897923,1447501913
400,592,1447501913_cctv592.jpg,12,8,8,18,13,0.18472732342,1447501913
401,589,1447503713_cctv589.jpg,7,21,21,25,8,0.0371122513616,1447503713
402,590,1447503713_cctv590.jpg,5,12,12,19,8,0.156476019865,1447503713
403,592,1447503713_cctv592.jpg,12,7,7,17,13,0.0432468307054,1447503713
404,589,1447505513_cctv589.jpg,20,8,8,27,20,0.117656618145,1447505513
405,590,1447505513_cctv590.jpg,4,14,14,19,7,0.0583566393629,1447505513
406,592,1447505513_cctv592.jpg,25,10,10,26,20,0.121490806557,1447505513
407,589,1447507314_cctv589.jpg,42,14,14,53,40,0.149220001723,1447507314
408,590,1447507314_cctv590.jpg,1,1,1,1,1,,1447507314
409,592,1447507314_cctv592.jpg,23,27,27,52,31,0.096761318809,1447507314
410,589,1447509114_cctv589.jpg,21,34,34,44,28,0.152921950713,1447509114
411,590,1447509114_cctv590.jpg,17,15,15,30,18,0.232548327516,1447509114
412,592,1447509114_cctv592.jpg,11,24,24,52,16,0.215338480768,1447509114
413,589,1447510915_cctv589.jpg,17,23,23,36,22,0.101073467345,1447510915
414,590,1447510915_cctv590.jpg,14,7,7,18,12,0.0855578367342,1447510915
415,592,1447510915_cctv592.jpg,23,25,25,43,27,0.100707555267,1447510915
416,589,1447512715_cctv589.jpg,9,7,7,15,10,0.0642650870281,1447512715
417,590,1447512715_cctv590.jpg,17,12,12,22,11,0.0760768678977,1447512715
418,592,1447512715_cctv592.jpg,12,24,24,33,16,0.062136212693,1447512715
419,589,1447514518_cctv589.jpg,8,3,3,20,18,0.192871028512,1447514518
420,590,1447514518_cctv590.jpg,2,3,3,19,18,0.185511565657,1447514518
421,592,1447514518_cctv592.jpg,14,20,20,40,18,0.137831806684,1447514518
422,589,1447516319_cctv589.jpg,23,7,7,28,22,0.210842336575,1447516319
423,590,1447516319_cctv590.jpg,1,7,7,21,18,0.142576749262,1447516319
424,592,1447516319_cctv592.jpg,14,24,24,45,24,0.0989907484872,1447516319
425,589,1447518119_cctv589.jpg,10,10,10,16,8,0.151309953773,1447518119
426,590,1447518119_cctv590.jpg,2,13,13,23,11,0.0501482723114,1447518119
427,592,1447518119_cctv592.jpg,16,17,17,36,21,0.118001591306,1447518119
428,589,1447519920_cctv589.jpg,12,2,2,13,12,0.147780001799,1447519920
429,590,1447519920_cctv590.jpg,6,8,8,25,11,0.093338521433,1447519920
430,592,1447519920_cctv592.jpg,11,17,17,30,19,0.131656729976,1447519920
431,589,1447521725_cctv589.jpg,25,23,23,43,25,0.212928306893,1447521725
432,590,1447521725_cctv590.jpg,7,11,11,24,13,0.131706575644,1447521725
433,592,1447521725_cctv592.jpg,14,16,16,37,17,0.169365805466,1447521725
434,589,1447523526_cctv589.jpg,27,27,27,55,38,0.208364868346,1447523526
435,590,1447523526_cctv590.jpg,9,20,20,44,23,0.134797129233,1447523526
436,592,1447523526_cctv592.jpg,23,29,29,40,25,0.194896904689,1447523526
437,589,1447525326_cctv589.jpg,7,17,17,33,24,0.120860262744,1447525326
438,590,1447525326_cctv590.jpg,9,20,20,39,19,0.133379945048,1447525326
439,592,1447525326_cctv592.jpg,12,13,13,27,20,0.130894155068,1447525326
440,589,1447527127_cctv589.jpg,10,10,10,32,30,0.142738546992,1447527127
441,590,1447527127_cctv590.jpg,20,14,14,26,14,0.140717701134,1447527127
442,592,1447527127_cctv592.jpg,7,14,14,16,6,0.291935638733,1447527127
443,589,1447528927_cctv589.jpg,19,33,33,43,21,0.206036927464,1447528927
